,LEN_CM,WID_CM,DEP_CM,WT_KG,QTY_PER_BOX,BOXES_ON_HAND,DEMAND
LEN_CM,1.0,0.5077334229736852,0.3414377998048419,0.4092776828619885,-0.06128388793249129,-0.04287089387871884,-0.02524397653631164
WID_CM,0.5077334229736852,1.0,0.4854885707437816,0.46132600443946586,-0.03937588773761397,-0.032286089691348864,-0.0030405450151774053
DEP_CM,0.3414377998048419,0.4854885707437816,1.0,0.5822558298782358,-0.013399498332707383,-0.015008640785376311,0.01874989954414598
WT_KG,0.4092776828619885,0.46132600443946586,0.5822558298782358,1.0,-0.00629843764440648,-0.03193287009959287,-0.02146763344710713
QTY_PER_BOX,-0.06128388793249129,-0.03937588773761397,-0.013399498332707383,-0.00629843764440648,1.0,0.019569349522491057,0.029484623974375804
BOXES_ON_HAND,-0.04287089387871884,-0.032286089691348864,-0.015008640785376311,-0.03193287009959287,0.019569349522491057,1.0,0.6700143229610928
DEMAND,-0.02524397653631164,-0.0030405450151774053,0.01874989954414598,-0.02146763344710713,0.029484623974375804,0.6700143229610928,1.0
