LEN_BIN,LEN_MIN,LEN_MAX,WID_Q10,WID_Q50,WID_Q90,DEP_Q10,DEP_Q50,DEP_Q90,WT_Q10,WT_Q50,WT_Q90,ROW_COUNT
0,3.5559999999999996,26.797,5.99948,10.972800000000001,19.999959999999998,3.302,5.715,11.684,0.05443104,0.4082328,2.73062384,15327
1,26.924,50.038,8.128,24.13,38.1,3.81,8.255,20.32,0.30844256000000003,1.61478752,8.535240664,7304
4,97.00006,119.99976,3.81,23.368,81.28,3.5559999999999996,8.89,30.383988000000006,0.540681664,3.4246195999999998,23.328236560000004,433
2,50.165,73.40599999999999,5.842,22.86,57.404,3.81,8.9916,21.998939999999997,0.44452016,2.4267171999999997,11.757104640000012,2593
3,73.49998000000001,96.52,4.318,21.082,65.99936,3.79984,8.255,28.575,0.47899315200000014,2.3314628799999997,18.609065392,1009
