LEN_BIN,LEN_MIN,LEN_MAX,WID_Q10,WID_Q50,WID_Q90,DEP_Q10,DEP_Q50,DEP_Q90,WT_Q10,WT_Q50,WT_Q90,ROW_COUNT
0,0.00508,24.003,6.5532,10.16,16.51,0.29972,2.4892,8.382,0.00907184,0.0816465599999999,1.0432616,4162
3,72.136,95.9993,2.54,12.49934,60.96,1.5544799999999996,5.08,24.9936,0.2295175519999999,1.30634496,15.538247552000026,187
1,24.13,48.00092,7.62,21.59,34.29,0.762,5.199380000000001,16.268954000000047,0.0680388,0.7711064,6.1008124,1644
4,96.012,119.99976,2.54,9.906,70.3326,1.7779999999999998,4.8133,25.8572,0.24720764,1.34716824,19.050864,83
2,48.006,71.99884,3.556,20.32,52.60543200000003,1.524,5.99948,19.05,0.2131882399999999,1.360776,8.638206047999999,506
