,mean,std,min,25%,50%,75%,max,skew
LEN_CM,25.291670181956313,19.521751914123712,0.00508,11.938,17.272,30.988,119.99976,1.9905404833466567
WID_CM,14.788564039126305,10.726795923558967,0.00508,8.89,10.668000000000001,17.272,117.00002,2.415246589626066
DEP_CM,5.016910597150997,5.68478524556549,0.00254,1.27,3.048,6.499860000000001,75.49896,2.6212064984304178
WT_KG,1.2882764048288697,3.350421987473996,0.00453592,0.0453592,0.21772416,0.94347136,45.3592,5.981570346273825
QTY_PER_BOX,2.335213675213675,8.548272943109874,1.0,1.0,1.0,1.0,300.0,15.31245443078542
BOXES_ON_HAND,16.68636277302944,75.74707495508578,1.0,2.0,4.0,11.0,6776.0,36.57795178189546
DEMAND,9.188812915479582,34.16113678939922,0.0,0.0,1.0,5.0,1436.0,11.79222629043112
