,LEN_CM,WID_CM,DEP_CM,WT_KG,QTY_PER_BOX,BOXES_ON_HAND,DEMAND
LEN_CM,1.0,0.47157935416460295,0.3743628035298946,0.40144810234783,-0.07316844219568426,-0.04233266839702355,-0.00834794239671269
WID_CM,0.47157935416460295,1.0,0.48090077724642416,0.47002820642020005,-0.05166078963706865,-0.024541735822813427,0.0190631319975409
DEP_CM,0.3743628035298946,0.48090077724642416,1.0,0.6239922093827781,-0.04913411134587009,-0.02354910766999472,0.028137329271440272
WT_KG,0.40144810234783,0.47002820642020005,0.6239922093827781,1.0,-0.020392535293836618,-0.02997457639417642,-0.00873776072419115
QTY_PER_BOX,-0.07316844219568426,-0.05166078963706865,-0.04913411134587009,-0.020392535293836618,1.0,0.0066523477100856555,0.02749785783087887
BOXES_ON_HAND,-0.04233266839702355,-0.024541735822813427,-0.02354910766999472,-0.02997457639417642,0.0066523477100856555,1.0,0.5610674729876884
DEMAND,-0.00834794239671269,0.0190631319975409,0.028137329271440272,-0.00873776072419115,0.02749785783087887,0.5610674729876884,1.0
