,mean,std,min,25%,50%,75%,max,skew
LEN_CM,30.319148541963546,21.052383067376514,3.5559999999999996,15.24,24.13,38.862,119.99976,1.558685661872385
WID_CM,17.66187275931898,12.707843388291469,3.048,8.90016,13.97,21.59,117.00002,1.9639024784193433
DEP_CM,8.559459663241581,6.1315621463413885,3.0225999999999997,4.445,6.4643,10.617199999999999,75.49896,2.438144340216892
WT_KG,2.3530871718292956,4.410298340327103,0.00453592,0.26308336,0.81192968,2.37682208,45.3592,4.413555594797841
QTY_PER_BOX,1.840433510837771,7.61027078597817,1.0,1.0,1.0,1.0,300.0,18.899243321829594
BOXES_ON_HAND,14.850221255531387,76.95967851021614,1.0,2.0,3.0,9.0,6776.0,36.91821032263991
DEMAND,9.97753693842346,40.42156697687243,0.0,0.0,1.0,5.0,1436.0,11.835780269350924
