LOCATION_ID,LOCATION_TYPE,SKU,POS_X_MM,POS_Y_MM,POS_Z_MM,INIT_UNITS,CURRENT_STOCK,MAX_UNITS,GRID_X,GRID_Y,GRID_Z,FULL_LAYERS,PARTIAL_UNITS,ORIENT_X_MM,ORIENT_Y_MM,ORIENT_Z_MM,LOCATION_VOL_MM3,LOCATION_VOL_M3,STORED_VOL_M3
A3-00066,A3,23905204,0,5720,260,8,8,8,1,2,4,4,0,392,304,60,90610000.0,0.091,0.058
A3-00067,A3,47309733,0,5720,520,6,6,6,1,6,1,1,0,334,127,247,90610000.0,0.091,0.063
A3-00068,A3,10710269,0,5720,780,2,2,2,1,2,1,1,0,333,424,153,90610000.0,0.091,0.044
A3-00069,A3,62756761,0,5720,1040,96,96,96,4,8,3,3,0,94,94,72,90610000.0,0.091,0.063
A3-00070,A3,66448998,0,5720,1300,24,24,24,2,4,3,3,0,183,209,80,90610000.0,0.091,0.074
A3-00071,A3,36947254,0,5720,1560,32,32,32,4,4,2,2,0,98,208,113,90610000.0,0.091,0.075
A3-00072,A3,23815148,0,5720,1820,2,2,2,1,2,1,1,0,277,417,145,90610000.0,0.091,0.034
A3-00073,A3,18028004,460,5720,0,60,60,60,3,5,4,4,0,130,161,58,90610000.0,0.091,0.074
A3-00074,A3,72293173,460,5720,260,154,154,154,11,7,2,2,0,36,118,118,90610000.0,0.091,0.079
A3-00075,A3,48589656,460,5720,520,28,28,28,4,7,1,1,0,88,110,224,90610000.0,0.091,0.061
A3-00076,A3,78857230,460,5720,780,2,2,2,1,2,1,1,0,360,312,139,90610000.0,0.091,0.031
A3-00077,A3,58628729,460,5720,1040,25,25,25,5,5,1,1,0,78,150,237,90610000.0,0.091,0.07
A3-00078,A3,46557233,460,5720,1300,36,36,36,2,18,1,1,0,171,46,247,90610000.0,0.091,0.071
A3-00079,A3,33709964,460,5720,1560,1026,1026,1026,9,19,6,6,0,43,43,43,90610000.0,0.091,0.083
A3-00080,A3,78857230,460,5720,1820,2,2,2,1,2,1,1,0,360,312,139,90610000.0,0.091,0.031
A3-00081,A3,32617613,920,5720,0,50,50,50,5,5,2,2,0,70,168,112,90610000.0,0.091,0.067
A3-00082,A3,58628729,920,5720,260,25,25,25,5,5,1,1,0,78,150,237,90610000.0,0.091,0.07
A3-00083,A3,10395279,920,5720,520,45,45,45,3,3,5,5,0,130,262,51,90610000.0,0.091,0.079
A3-00084,A3,87484105,920,5720,780,110,110,110,5,11,2,2,0,72,76,118,90610000.0,0.091,0.072
A3-00085,A3,30780591,920,5720,1040,34,34,34,2,17,1,1,0,186,47,225,90610000.0,0.091,0.068
A3-00086,A3,62410739,920,5720,1300,2,2,2,1,2,1,1,0,308,308,191,90610000.0,0.091,0.037
A3-00087,A3,10395279,920,5720,1560,45,45,45,3,3,5,5,0,130,262,51,90610000.0,0.091,0.079
A3-00088,A3,43974882,920,5720,1820,14,14,14,7,2,1,1,0,54,416,231,90610000.0,0.091,0.073
A3-00089,A3,47418169,1380,5720,0,1,1,1,1,1,1,1,0,319,475,198,90610000.0,0.091,0.03
A3-00090,A3,38849841,1380,5720,260,6,6,6,1,2,3,3,0,313,284,81,90610000.0,0.091,0.043
