ITEM_ID,LEN_MM,DEP_MM,WID_MM,VOLUME_MM3,REASON
44318341,1169.3,98.6,292.3,33700138.054,NO_FEASIBLE_FIT
44820084,963.7,240.9,240.9,55926218.99700001,NO_FEASIBLE_FIT
19556106,957.1,236.9,414.0,93869113.86000001,NO_FEASIBLE_FIT
11822852,894.8,242.1,499.1,108120572.028,NO_FEASIBLE_FIT
40616638,704.7,154.3,546.6,59434665.78600001,NO_FEASIBLE_FIT
99361357,290.8,55.6,277.8,4491603.744000001,NO_FEASIBLE_FIT
84522870,278.1,184.6,278.1,14276892.006000001,NO_FEASIBLE_FIT
55635283,269.7,78.5,269.7,5709940.065,NO_FEASIBLE_FIT
